IndustryCode,InternalRating,LoanAmount,OutstandingBalance,OriginationDate,MaturityDate,CreditFacilityType,AML_Flag,FraudRiskScore,KYC_ComplianceScore,SanctionsCheckFlag,ExposureLimitBreached,FlaggedReason,RemediationAction
1,6,7673718,995469,2021-05-30,2034-08-14,2,0,5,97,0,0,5,4
0,6,650586,211838,2023-05-09,2030-05-11,0,0,9,74,0,0,5,4
0,1,9386866,268055,2023-04-27,2032-11-24,0,1,4,71,0,0,5,4
5,4,6841490,6365542,2023-03-22,2032-03-10,1,0,9,82,0,1,4,2
2,4,7778004,1698189,2024-12-04,2029-03-07,0,0,7,54,0,0,5,4
5,6,2272872,461822,2023-07-17,2029-11-03,0,0,7,95,0,0,5,4
5,5,8409116,5236020,2022-12-20,2031-11-19,0,0,7,59,0,0,5,4
5,4,4560913,231137,2024-12-03,2030-02-18,2,1,10,92,0,1,5,4
1,6,8867504,246811,2021-11-04,2034-11-18,0,0,4,54,0,0,2,2
4,4,860810,799082,2024-02-07,2031-10-12,3,0,0,70,0,1,1,3
3,7,1928280,685143,2025-01-18,2033-03-15,0,0,0,95,0,0,0,3
1,5,1399731,1134531,2023-09-02,2028-01-12,0,0,2,56,0,0,3,3
4,4,6651682,4298904,2023-04-10,2029-02-19,3,0,1,66,0,0,3,3
5,4,9070073,6691884,2021-07-03,2033-08-29,2,1,0,78,0,0,5,4
5,5,5063206,4956471,2024-04-01,2025-04-22,0,0,8,90,0,1,4,2
3,1,7487616,5457708,2021-03-21,2032-12-02,2,0,3,58,0,1,2,2
3,1,6979518,5400290,2020-11-21,2026-12-02,2,0,2,80,1,0,0,3
4,5,3917145,490791,2025-02-20,2034-09-21,0,1,0,72,0,0,5,4
0,1,1617153,1522808,2022-11-03,2026-07-16,1,0,6,76,0,0,5,4
0,4,8411127,211992,2021-05-19,2028-01-17,2,0,4,70,0,0,5,4
5,2,7766955,4420398,2024-01-06,2028-01-19,3,0,5,74,0,1,5,4
1,0,9433849,4570762,2022-02-01,2032-08-22,3,0,0,52,0,0,5,4
1,1,2814894,288979,2024-07-18,2033-06-27,0,0,2,58,0,0,5,4
5,5,1354591,695369,2021-10-12,2034-07-18,3,1,3,96,0,1,5,4
2,2,6303688,3833072,2024-04-28,2027-05-14,1,0,2,72,0,0,5,4
1,1,2321037,2120318,2023-01-10,2030-07-18,3,0,6,87,0,1,5,4
2,4,9579379,2327593,2020-06-14,2033-02-23,1,1,2,61,0,0,0,1
1,7,563342,368509,2024-11-06,2034-07-24,2,0,2,99,0,0,5,4
2,2,8885198,5825652,2022-07-01,2031-07-08,3,0,1,76,0,0,3,0
1,6,3280037,3032267,2020-09-08,2031-05-08,3,0,7,51,0,0,1,0
2,4,3286264,2540659,2022-05-04,2026-11-20,2,0,5,56,0,0,5,4
3,2,2652873,2598831,2022-06-01,2033-01-23,2,0,9,59,0,0,5,4
2,5,9627787,5323302,2022-04-07,2027-06-19,1,0,3,75,0,0,5,4
4,6,3528751,3207315,2023-04-18,2028-12-01,0,0,2,86,1,0,5,4
3,5,8022566,3608199,2023-12-15,2030-05-11,1,0,8,62,0,0,0,2
4,2,8482854,6925571,2022-07-19,2029-09-01,2,0,1,75,1,0,5,4
3,6,2178200,473702,2022-07-22,2034-08-22,2,0,8,74,1,0,1,1
4,4,4706342,2247044,2023-02-28,2028-12-14,1,0,1,71,1,1,4,3
5,0,1294501,927472,2020-05-15,2031-07-01,0,0,9,50,0,0,5,4
3,7,3924367,3248409,2023-08-26,2029-01-26,0,0,3,86,0,0,5,4
5,0,5962893,2951902,2022-05-05,2030-05-17,3,0,8,100,0,0,5,4
1,4,6772590,2358733,2022-07-06,2025-08-21,1,1,4,93,0,1,5,4
4,0,2092888,1651273,2023-09-09,2031-09-09,1,1,1,96,0,0,5,4
1,2,6176282,2192032,2023-12-09,2035-02-20,2,1,4,54,0,0,5,4
2,0,9799609,5097285,2022-12-23,2026-11-17,2,0,9,93,0,0,5,4
1,0,9293361,5256208,2020-04-13,2035-02-22,3,0,3,98,0,0,5,4
3,7,9192162,4901144,2024-02-27,2032-08-13,2,0,0,100,0,0,5,4
5,7,6369987,1869718,2020-05-23,2031-11-18,1,0,7,75,0,0,5,4
0,5,2523383,1772887,2024-01-22,2029-04-20,0,0,8,68,0,0,0,3
5,1,2581275,1177984,2024-03-15,2027-06-29,0,0,1,92,0,0,5,4
1,5,8320805,734828,2022-01-09,2031-12-11,1,0,6,67,0,0,1,3
0,4,5159803,2078827,2022-02-04,2029-09-01,2,0,3,62,0,1,5,4
4,4,1687026,508842,2025-03-20,2033-12-31,0,0,4,71,0,1,4,2
1,5,5016111,2925840,2020-10-22,2033-04-30,2,0,10,67,0,0,5,4
2,7,2289789,16286,2021-03-08,2030-11-05,1,0,7,86,0,0,5,4
0,6,1534521,223662,2021-08-07,2025-11-15,0,1,8,61,0,0,5,4
2,5,6129977,4975065,2024-09-24,2026-02-18,0,0,6,75,0,0,5,4
5,5,2611029,65886,2024-08-20,2030-07-06,0,1,3,52,1,1,5,4
5,6,3047353,2323951,2024-03-22,2035-03-22,2,0,4,100,0,0,1,1
3,6,7480557,7019355,2022-03-17,2032-01-14,1,0,5,69,0,0,5,4
4,4,1712327,1680425,2022-11-19,2030-04-04,3,0,7,99,0,0,2,1
5,3,6012663,5680176,2024-02-01,2026-10-12,1,0,7,52,0,0,5,4
3,6,2097016,2050933,2023-06-01,2029-10-30,3,0,5,64,0,1,5,4
0,2,9369959,9084327,2021-02-13,2033-10-03,3,0,0,55,0,0,5,4
4,0,7739507,6127315,2024-10-21,2027-05-15,2,0,2,63,0,0,3,0
5,2,7228158,782149,2021-01-02,2030-09-06,2,0,10,98,0,1,5,4
2,4,5102209,3303524,2024-12-15,2032-03-01,0,0,2,98,0,0,5,4
3,1,60344,53273,2023-03-07,2035-02-19,1,0,8,96,0,0,5,4
5,5,8929330,1433521,2024-02-26,2026-10-23,2,0,3,60,0,0,5,4
1,2,5209563,3717271,2022-07-31,2029-12-31,0,0,5,93,0,0,5,4
5,5,4233132,3489119,2021-06-18,2028-05-06,0,0,4,51,0,0,5,4
5,0,5506267,1474060,2024-03-06,2034-01-27,1,0,5,85,0,0,5,4
0,2,9654348,7032695,2022-05-16,2027-06-28,1,0,9,64,0,0,5,4
4,4,9707846,3117041,2022-05-22,2030-08-15,3,0,6,64,0,1,5,4
4,2,8240706,7796902,2024-10-22,2031-06-21,3,0,2,74,0,0,5,4
1,4,2964656,811206,2023-04-24,2032-01-07,2,1,7,60,0,0,5,4
1,7,1730711,494281,2024-09-29,2034-07-14,2,0,0,61,0,0,5,4
4,7,2025994,1916102,2024-03-02,2030-04-16,2,0,1,69,0,0,5,4
2,7,4667168,4659249,2020-03-28,2027-05-25,1,0,9,69,0,0,5,4
4,2,952459,493267,2021-12-03,2028-07-13,2,0,7,65,0,0,5,4
5,4,9915636,9695637,2023-03-17,2027-01-21,1,0,3,87,0,0,2,3
0,3,2907644,2015808,2023-06-06,2033-06-29,2,0,6,87,0,0,0,0
1,4,71435,71012,2024-12-22,2025-09-08,2,0,6,56,0,1,4,0
4,1,7542457,5977903,2021-09-03,2035-02-28,3,1,4,56,0,0,3,1
5,4,9725367,2250281,2022-12-20,2032-09-13,0,0,6,88,0,0,3,0
0,0,6530610,5949056,2020-10-14,2031-06-13,2,0,5,93,0,0,5,4
5,7,3804038,1741197,2023-05-27,2033-08-27,2,0,10,52,0,1,5,4
2,0,5817464,2109553,2021-09-08,2027-02-18,1,0,7,68,0,1,5,4
3,7,6319094,5133599,2021-08-06,2030-12-21,2,0,5,65,0,0,2,2
5,5,7045047,6648360,2024-11-26,2027-11-10,3,0,9,88,0,1,5,4
1,2,8811718,2209748,2023-12-22,2026-06-28,0,0,1,76,0,0,5,4
4,0,382956,327976,2023-08-05,2028-05-09,2,0,8,62,0,0,5,4
2,6,6941729,4233999,2022-11-17,2030-11-23,2,0,2,94,0,0,4,2
1,6,1182480,35376,2025-03-08,2033-05-29,1,0,10,99,0,1,4,1
1,4,4875842,379304,2024-02-22,2031-05-12,2,1,8,60,0,0,0,1
5,6,664210,347739,2021-09-22,2032-02-14,1,0,7,50,0,0,5,4
3,2,4570393,2575463,2021-05-06,2034-10-05,2,0,6,67,0,0,4,0
2,4,7819390,7381109,2023-06-04,2028-10-25,1,0,5,96,0,0,4,0
1,6,9461801,4115925,2021-08-09,2032-10-14,3,0,4,93,0,0,5,4
4,3,664926,646017,2023-04-17,2027-12-16,0,0,1,78,0,1,5,4
4,4,4410502,1193360,2022-07-15,2026-03-28,1,0,0,93,0,0,5,4
1,6,4397706,2721776,2021-02-10,2026-09-14,3,0,5,95,0,0,4,3
2,5,5444433,1701649,2023-09-11,2030-11-19,1,1,7,58,0,1,5,4
5,6,5477923,1945424,2024-12-31,2027-07-01,1,0,10,78,0,0,5,4
1,5,121372,17743,2024-04-24,2032-04-14,3,0,8,95,0,0,5,4
3,6,2505021,1079539,2024-01-17,2025-09-07,2,0,3,73,1,0,5,4
2,6,3403445,1931361,2024-04-27,2029-09-09,1,0,6,61,0,0,5,4
4,1,1744916,1285869,2024-11-23,2034-12-18,3,0,7,81,0,0,5,4
1,4,63561,46467,2024-07-29,2032-09-18,2,0,5,78,0,0,0,2
5,2,4982719,4066051,2021-03-10,2026-11-07,1,0,2,67,1,0,1,0
3,3,9068866,4955230,2021-01-08,2031-08-25,0,0,4,77,0,0,5,4
5,0,9974381,9320729,2022-05-25,2031-01-29,1,0,9,82,0,0,5,4
3,2,7959827,4777900,2020-09-13,2032-02-06,0,1,10,72,0,0,5,4
4,6,6358582,5010986,2021-12-12,2034-08-08,3,1,8,76,0,0,5,4
2,7,4894143,3140037,2023-01-13,2027-11-22,1,0,2,88,0,0,5,4
4,1,9215844,4937265,2024-09-24,2032-11-22,0,0,3,93,0,0,5,4
4,0,4855982,3964324,2021-09-01,2029-12-30,3,0,2,100,0,0,5,4
2,1,2191886,1928977,2022-08-16,2034-04-14,0,0,5,95,0,0,5,4
5,2,8252451,615977,2023-09-24,2026-08-23,1,0,9,90,0,1,5,4
4,7,55050,36685,2023-06-13,2029-05-24,3,0,8,53,0,0,5,4
1,1,3117584,728960,2022-10-02,2032-01-18,3,0,1,75,0,0,5,4
4,1,4177497,1623606,2024-11-09,2027-01-20,1,1,5,51,0,1,5,4
3,5,3767260,1475849,2024-07-26,2026-11-15,2,1,9,76,0,0,5,4
5,2,3551904,2230080,2022-12-17,2029-08-26,2,0,9,71,0,0,5,4
4,2,9275118,496297,2023-05-17,2027-10-18,2,0,8,64,0,0,5,4
1,3,5454204,4055128,2023-05-01,2029-09-01,2,1,5,91,1,0,5,4
5,2,1662699,1328488,2020-08-21,2030-11-17,2,0,0,74,0,1,2,2
1,4,7549661,802313,2020-10-20,2027-03-12,0,0,2,63,0,0,5,4
4,4,4511677,2122942,2022-11-22,2033-04-22,1,1,5,72,0,0,5,4
0,6,9298398,4546586,2024-04-26,2035-02-08,3,0,8,62,0,0,1,2
2,0,2254246,2194182,2022-06-02,2028-02-03,3,0,0,61,0,0,5,4
3,0,6631984,1182107,2020-06-10,2030-04-15,1,0,2,100,0,0,0,3
4,1,2248176,586166,2024-04-11,2031-06-05,0,0,3,92,0,0,5,4
2,4,1780051,137855,2024-05-05,2033-11-06,0,0,1,91,0,0,5,4
3,2,8311577,5311439,2025-03-03,2034-12-16,0,0,6,74,0,0,5,4
1,4,1201283,223640,2021-08-18,2031-10-27,0,0,10,95,0,0,5,4
0,7,9657383,1279596,2020-09-09,2032-04-14,0,0,6,66,0,0,5,4
5,6,2332110,556873,2022-11-22,2034-10-07,0,0,7,74,0,0,5,4
4,6,4906430,654368,2023-04-03,2032-01-20,1,0,7,70,1,0,4,2
0,0,5408022,2141238,2023-10-16,2030-05-01,3,0,3,94,0,0,5,4
0,5,9062410,9028193,2023-11-17,2028-06-27,0,0,6,88,0,0,0,3
4,0,3487175,2989602,2023-10-11,2027-05-27,0,0,7,60,0,0,5,4
5,0,5440197,1943798,2020-10-18,2031-07-21,3,0,2,76,0,0,5,4
4,1,3113687,1860852,2023-04-09,2026-12-04,2,0,9,72,0,0,5,4
3,5,8660298,7149310,2022-08-09,2032-02-04,1,0,1,74,0,0,0,0
3,3,9873734,8912235,2020-12-04,2028-05-23,3,0,5,78,0,0,5,4
1,3,2208891,2025731,2021-06-15,2025-10-18,1,0,6,52,1,0,5,4
2,2,8886403,1545587,2023-06-10,2032-06-17,2,0,2,96,0,0,5,4
0,7,4212390,3394381,2022-04-14,2026-04-23,1,0,3,77,0,1,1,3
1,7,4991061,1670796,2022-05-04,2034-11-10,1,0,10,57,0,0,5,4
